parentUUID,rawTitle,cleanTitle,secondaryLanguageTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
44a5b7f0-af3b-45a7-9e76-29158898b0ac,65,65,,1700000,65,100,https://www.imdb.com/title/tt12261776/,"Action, Adventure, Drama",Film,5.4,85K,2,2,5,12,2,1,2,1,3,,1,8,5,8,75,32,20,65,14,17,38,1,75
00c83182-65ed-4894-815c-173f86b6abd2,42,42,,1600000,42,100,https://www.imdb.com/title/tt0453562/,"Biography, Drama, Sport",Film,7.5,102K,1,1,230,9,1,1,2,1,3,2,1,35,5,10,112,38,18,122,40,26,31,2,151
6e7f751a-1ee7-47d6-8eec-3fe7c39ce78c,211,211,,2600000,211,100,https://www.imdb.com/title/tt4976192/,"Action, Drama, Thriller",Film,4.4,9.3K,1,2,48,12,1,1,1,1,,1,1,,2,11,20,18,24,24,3,5,4,3,15
907b9ccf-f390-43eb-8eb7-35f0c48d4cbb,122,122,,100000,122,100,https://www.imdb.com/title/tt7867670/,"Horror, Thriller",Film,5.6,5.8K,1,1,69,2,2,2,2,,,,,,,,1,5,,1,,1,2,,3
769e65fd-4b9f-4f92-88ba-d351cbb859e1,1408,1408,,11000000,1408,100,https://www.imdb.com/title/tt0450385/,"Fantasy, Horror, Mystery",Film,6.8,292K,1,4,44,8,1,1,1,1,2,2,1,23,9,15,49,24,26,75,21,10,29,3,78
6c517857-d814-42d5-a9f8-b1dfcdade29d,366,366,,300000,366,100,https://www.imdb.com/title/tt19710898/,Drama,Film,5.6,82,1,2,74,9,1,2,1,,,,,1,3,3,13,6,,12,2,10,5,1,169
a861857c-7cbb-4bad-9ec5-eb3a5aa9d5be,11:11,11:11,,100000,11.11,80,https://www.imdb.com/title/tt18749778/,"Drama, Thriller",Film,5.7,195,1,1,11,1,1,1,1,,,,,,,2,,,,1,,,,1,
65ff97cd-928b-4d62-9383-18dd7245cce5,1922,1922,,8700000,1922,100,https://www.imdb.com/title/tt6214928/,"Crime, Drama, Horror",Film,6.2,71K,1,2,22,13,1,1,1,1,1,1,1,9,1,5,12,11,5,12,2,8,1,1,16
737d2717-3ea6-48bf-a486-0f05d2e98cd0,1917,1917,,3800000,1917,100,https://www.imdb.com/title/tt8579674/,"Action, Drama, War",Film,8.2,663K,1,2,112,17,1,1,1,1,5,1,2,86,11,23,427,43,59,88,59,37,36,5,173
3e8a949a-b147-45d1-97d0-66775f4b92ff,1981,1981,,100000,1981,100,https://www.imdb.com/title/tt1286159/,"Comedy, Drama, Family",Film,7.2,2K,1,1,37,5,1,1,1,1,1,2,1,6,4,5,11,13,,16,6,5,8,1,7
3097528c-ab95-4641-8e75-99371480dc51,2067,2067,,100000,2067,100,https://www.imdb.com/title/tt1918734/,"Mystery, Sci-Fi",Film,4.9,12K,1,4,27,19,2,1,1,2,1,2,1,,1,3,22,10,7,16,6,6,7,6,9
e1c5a7df-3142-4ecd-bb61-7cdde722ccae,2012,2012,,18200000,2012,100,https://www.imdb.com/title/tt1190080/,"Action, Adventure, Sci-Fi",Film,5.8,395K,1,2,156,10,2,1,2,4,4,1,1,21,7,18,122,43,133,124,34,18,160,2,147
6146abe7-46c8-45ed-a1bb-574613574bd5,1987,1987,,100000,1987,100,https://www.imdb.com/title/tt6493286/,"Drama, History, Thriller",Film,7.8,6.5K,2,5,307,12,4,1,1,4,6,,2,14,2,10,12,11,25,11,3,9,5,3,17
3bb691e4-2a56-4253-8aa7-53007bdaff94,The Mother,The Mother,,249900000,The Mother,100,https://www.imdb.com/title/tt6968614/,"Action, Thriller",Film,5.6,46K,1,4,29,14,1,1,1,1,6,5,2,44,15,32,59,30,58,115,34,20,22,5,134
bc75dd9e-ec25-4c3a-95aa-326e1b01d5c8,Luther: The Fallen Sun,Luther: The Fallen Sun,,209700000,Luther: The Fallen Sun,95.45,https://www.imdb.com/title/tt3155298/,"Crime, Drama, Mystery",Film,6.4,62K,1,2,77,16,1,1,1,3,12,2,1,62,14,42,172,38,105,203,59,16,33,7,177
2ca4bc7e-6055-43f7-9ead-d9496d0e4ebe,Extraction 2,Extraction 2,,201800000,Extraction 2,100,https://www.imdb.com/title/tt12263384/,"Action, Thriller",Film,7.0,142K,1,5,73,27,2,1,2,5,6,1,2,39,12,21,41,25,54,60,24,18,29,1,139
7b3d2bef-f3ee-42c9-b56c-866fe3bedd9b,Murder Mystery 2,Murder Mystery 2,,173600000,Murder Mystery 2,100,https://www.imdb.com/title/tt15255288/,"Action, Comedy, Crime",Film,5.7,66K,1,2,40,26,1,1,2,2,7,3,1,32,20,29,77,29,113,123,35,21,16,3,136
f4c778e6-9308-4128-a1c0-2f93286ef1c0,You People,You People,,181800000,You People,100,https://www.imdb.com/title/tt14826022/,"Comedy, Romance",Film,5.5,62K,1,2,74,11,1,1,1,2,1,1,1,37,5,12,17,18,22,54,23,17,41,4,56
5f42d00e-df8e-41ee-aed2-268d970ae301,Your Place or Mine,Your Place or Mine,,163000000,Your Place or Mine,100,https://www.imdb.com/title/tt12823454/,"Comedy, Romance",Film,5.7,38K,1,1,41,10,1,1,1,1,1,1,1,17,6,8,26,21,2,53,19,11,10,2,71
41f37eba-761d-4ade-8adb-927b1f1ab271,Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,Wrong Side of the Tracks,,237700000,Wrong Side of the Tracks,100,https://www.imdb.com/title/tt7917976/,Horror,Film,4.9,102,1,1,7,,,,1,,,,,,,,,,,,,,,,
f9ac74cc-33a4-421c-aac4-9e222437d271,We Have a Ghost,We Have a Ghost,,124400000,We Have a Ghost,100,https://www.imdb.com/title/tt7798604/,"Adventure, Comedy, Drama",Film,6.1,32K,1,2,117,8,1,1,1,1,3,1,1,20,5,9,58,22,80,136,9,17,28,2,55
93b7890c-7827-4d6a-bb5e-88ca837df928,The Pale Blue Eye,The Pale Blue Eye,,120500000,The Pale Blue Eye,100,https://www.imdb.com/title/tt14138650/,"Crime, Horror, Mystery",Film,6.6,122K,1,2,28,19,1,1,1,1,3,1,1,25,7,5,36,24,12,59,16,27,22,2,90
4316d6cc-24a1-401d-9950-6cb352774524,AKA,AKA,,120000000,AKA,100,https://www.imdb.com/title/tt27197387/,"Action, Crime, Thriller",Film,6.6,13K,1,2,38,1,1,1,1,3,,,2,4,6,3,11,11,51,26,2,5,1,2,7
1bd9067f-f660-4c04-a6d8-bb28169a5e73,Minions: The Rise of Gru,Minions: The Rise of Gru,,96400000,Minions: The Rise of Gru,95.83,https://www.imdb.com/title/tt5113044/,"Animation, Adventure, Comedy",Film,6.5,83K,3,3,55,8,1,,1,,2,,,,11,,31,37,5,,,16,65,1,43
e1a1e210-c674-4f6b-b87c-866ca04198c2,Black Knight: Season 1 // 택배기사: 시즌 1,Black Knight,,94300000,Black Knight,100,https://www.imdb.com/title/tt0265087/,"Adventure, Comedy, Fantasy",Film,4.9,43K,1,3,98,9,1,1,1,2,2,1,1,18,6,10,40,23,40,35,14,10,29,7,58
3aee7b8c-c1b0-46f7-98ce-cd36be1df9c5,Murder Mystery,Murder Mystery,,87900000,Murder Mystery,100,https://www.imdb.com/title/tt1618434/,"Action, Comedy, Crime",Film,6.0,166K,1,1,53,19,1,1,1,5,7,6,1,43,13,38,48,22,54,125,15,17,8,4,98
9220ebd6-b690-4215-81ef-36a644bfee50,Extraction,Extraction,,86100000,Extraction,100,https://www.imdb.com/title/tt8936646/,"Action, Thriller",Film,6.8,259K,1,6,60,22,2,1,2,1,6,2,1,30,19,31,40,31,74,56,9,23,35,3,93
0947c6e7-a78f-45cf-badb-c5a9d506ba8e,Roald Dahl's Matilda The Musical,Roald Dahl's Matilda The Musical,,81000000,Roald Dahl's Matilda the Musical,96.88,https://www.imdb.com/title/tt3447590/,"Comedy, Drama, Family",Film,7.0,28K,1,4,90,7,2,1,1,2,5,1,1,36,6,32,64,37,13,91,45,20,29,7,92
7104a2d1-cb48-4370-b11a-37dd772f265c,The Last Kingdom: Seven Kings Must Die,The Last Kingdom: Seven Kings Must Die,,83200000,The Last Kingdom: Seven Kings Must Die,97.37,https://www.imdb.com/title/tt15767808/,"Action, Drama, History",Film,6.9,34K,1,2,39,8,3,1,1,2,3,,1,8,3,11,12,16,27,28,7,8,1,2,14
3e6eca07-2270-4555-95a2-9a16c7501432,All Quiet on the Western Front // Im Westen nichts Neues,All Quiet on the Western Front,,80000000,All Quiet on the Western Front,100,https://www.imdb.com/title/tt0020629/,"Drama, War",Film,8.1,67K,1,7,47,1,2,2,3,,2,,,,,1,,2,,3,,3,16,,5
0dd8e629-49d8-43a3-9abd-491b3e33efa5,Sing (2016),Sing,,80500000,Sing,100,https://www.imdb.com/title/tt3470600/,"Animation, Comedy, Family",Film,7.1,189K,2,1,56,5,1,,1,1,1,,,,10,,31,47,,,,13,191,1,39
2b30ab13-99b1-404a-ad5a-a03999576cb1,Chupa,Chupa,,77800000,Chupa,100,https://www.imdb.com/title/tt14923260/,"Action, Adventure, Drama",Film,5.5,7.1K,1,7,26,10,1,1,1,1,2,3,1,21,5,7,50,19,18,44,16,25,19,3,78
5d73a289-d516-4c1d-b558-4606d46428d4,Sing 2,Sing 2,,76600000,Sing 2,100,https://www.imdb.com/title/tt6467266/,"Animation, Adventure, Comedy",Film,7.4,85K,2,1,63,5,1,,1,,,,,,8,,24,37,,,,13,139,1,34
4112da29-6295-4f82-af71-8ebb01e8d0f0,The Boss Baby,The Boss Baby,,75100000,The Boss Baby,100,https://www.imdb.com/title/tt3874544/,"Animation, Adventure, Comedy",Film,6.3,139K,1,2,24,3,2,,1,2,,,,,30,,34,39,,,,20,188,,185
6c8338ab-3201-4a07-99b9-50e2017e468d,Blood Ties: Season 1 // Las Villamizar: Season 1,Blood Ties,,73300000,Blood Ties,100,https://www.imdb.com/title/tt1747958/,"Action, Crime, Drama",Film,6.5,21K,1,7,85,17,1,1,1,1,1,2,1,13,4,7,50,14,34,39,22,8,6,3,103
927c4cf1-62d7-44ef-9bd6-a2634a532ed4,Kill Boksoon // 길복순,Kill Boksoon,,68500000,Kill Boksoon,100,https://www.imdb.com/title/tt16900880/,"Action, Thriller",Film,6.6,12K,1,1,20,1,,1,1,,1,,,,,,,4,1,1,,,,,
95710f96-5ccc-4437-9a2f-3d16429acfcb,Hotel Transylvania 2,Hotel Transylvania 2,,67000000,Hotel Transylvania 2,100,https://www.imdb.com/title/tt2510894/,"Animation, Adventure, Comedy",Film,6.6,141K,1,3,86,7,1,,1,1,1,,,,11,,41,31,,1,,15,44,,41
e9119258-f98e-46a5-946c-6b2650b118b4,Viking Wolf // Vikingulven,Viking Wolf,,67500000,Viking Wolf,100,https://www.imdb.com/title/tt13051810/,"Horror, Thriller",Film,5.2,7.1K,1,2,14,9,2,1,,1,,1,1,5,1,4,4,4,3,9,2,6,,2,3
7efe3020-19c9-43cf-a747-0ac9907ea068,Red Notice,Red Notice,,68100000,Red Notice,100,https://www.imdb.com/title/tt7991608/,"Action, Comedy, Thriller",Film,6.3,313K,1,1,87,11,1,1,2,2,12,3,1,47,24,45,176,36,118,252,50,21,54,9,324
b1d0292e-0fb7-4b77-9d57-b3c44fe6cb18,Jumanji: The Next Level,Jumanji: The Next Level,,64300000,Jumanji: The Next Level,95.65,https://www.imdb.com/title/tt7975244/,"Action, Adventure, Comedy",Film,6.7,278K,1,4,88,14,1,1,3,2,6,3,1,34,10,9,88,32,76,154,47,33,108,4,151
8f7c4754-e663-4121-87e5-706f55250bb6,Dog Gone,Dog Gone,,61600000,Dog Gone,100,https://www.imdb.com/title/tt15334430/,"Biography, Drama, Family",Film,6.1,6K,1,2,40,6,1,1,1,1,1,1,1,6,3,4,17,8,5,25,7,4,9,1,42
786add43-fe72-4415-9244-22c2c5a5679b,The Sea Beast,The Sea Beast,,62700000,The Sea Beast,100,https://www.imdb.com/title/tt9288046/,"Animation, Adventure, Comedy",Film,7.0,57K,1,5,24,7,1,,1,1,1,,1,,7,,35,17,,,1,10,32,1,46
eca0c995-7a1c-4d36-a034-a51f1c1d9c99,A Man Called Otto,A Man Called Otto,,61300000,A Man Called Otto,100,https://www.imdb.com/title/tt7405458/,"Comedy, Drama",Film,7.5,151K,1,3,91,18,1,1,1,2,1,3,2,23,4,9,76,30,18,94,16,48,57,1,96
511f98a7-d576-4bc8-afac-459b603033d5,The Gray Man,The Gray Man,,58300000,The Gray Man,100,https://www.imdb.com/title/tt1649418/,"Action, Thriller",Film,6.5,233K,2,4,89,23,1,1,2,2,11,2,1,81,23,35,112,41,121,188,46,27,64,6,222
0c880ae4-1d9f-43e9-a433-39cb71ed136e,The Strays,The Strays,,56500000,The Strays,100,https://www.imdb.com/title/tt16437278/,"Drama, Horror, Mystery",Film,4.8,11K,1,1,29,5,1,1,1,1,2,2,1,2,5,8,21,10,1,20,7,5,11,2,21
df85d0ff-4778-47f3-af7e-a8158d3f25da,The Croods,The Croods,,56400000,The Croods,100,https://www.imdb.com/title/tt0481499/,"Animation, Action, Adventure",Film,7.2,230K,2,5,8,2,1,,1,2,3,,,,20,,50,52,,1,,35,63,1,662
7d558767-d0ee-4343-8b55-71b8dfbcf1f0,Matilda (1996),Matilda,,55700000,Matilda,100,https://www.imdb.com/title/tt0117008/,"Comedy, Family, Fantasy",Film,7.0,172K,1,3,69,9,1,1,2,2,1,1,1,9,5,4,30,32,15,22,6,9,35,1,43
4043bb89-1cc3-495d-9385-3001fbe99a94,True Spirit,True Spirit,,56700000,True Spirit,100,https://www.imdb.com/title/tt2353868/,"Adventure, Biography, Drama",Film,6.8,9.5K,1,4,63,12,1,1,1,2,1,1,1,8,5,7,16,15,7,40,10,9,2,2,44
8be3971b-39a9-4cb8-936c-77f1a7c2d76b,¡Que viva México!,¡Que viva México!,,53500000,¡Que viva México!,82.35,https://www.imdb.com/title/tt22185848/,Comedy,Film,5.6,2.3K,1,4,34,5,1,1,1,,,1,1,10,5,8,13,11,1,17,2,9,4,1,12
54c68a29-8024-4f3e-82e9-21e5417727d3,We Can Be Heroes,We Can Be Heroes,,52900000,We Can Be Heroes,100,https://www.imdb.com/title/tt10600398/,"Action, Comedy, Drama",Film,4.7,17K,1,2,72,5,1,1,1,2,1,2,2,21,6,4,48,21,22,35,16,13,16,1,51
4828e759-a56e-4662-beaa-a75917f2214f,A Tourist's Guide to Love,A Tourist's Guide to Love,,51800000,A Tourist's Guide to Love,96,https://www.imdb.com/title/tt20115096/,"Adventure, Comedy, Romance",Film,5.7,6.6K,1,1,25,8,2,1,1,2,,,1,1,4,5,,17,,7,1,6,7,1,8
0aa92396-928a-4250-b6c6-202a0aabebac,Blood & Gold,Blood & Gold,,51600000,Blood & Gold,91.67,https://www.imdb.com/title/tt18073328/,"Action, Drama, War",Film,6.5,16K,1,2,25,10,2,1,1,2,2,1,1,21,10,4,37,26,42,55,30,15,8,1,63
53cc67b0-6237-4e94-a503-5d9431834ba4,Little Women: Limited Series // 작은 아씨들: 리미티드 시리즈,Little Women: Limited Series,,66400000,Little Women,100,https://www.imdb.com/title/tt3281548/,"Drama, Romance",Film,7.8,239K,1,2,133,7,1,1,1,2,3,1,1,22,3,8,52,43,13,66,41,26,22,2,117
6c23d035-07f5-4d48-893b-dac311507cc0,Faithfully Yours,Faithfully Yours,,50600000,Faithfully Yours,100,https://www.imdb.com/title/tt20119468/,Thriller,Film,5.8,5.8K,1,3,20,4,2,1,1,1,1,1,2,9,8,6,26,15,5,28,9,8,7,,33
8f7be6cf-587b-44a1-92bc-99ed81e289e0,Tin & Tina,Tin & Tina,,49700000,Tin & Tina,90,https://www.imdb.com/title/tt7354440/,"Horror, Mystery, Thriller",Film,4.7,6.8K,1,2,21,5,1,1,1,1,,,1,4,3,4,21,10,11,13,1,6,8,,6
d579076b-5c46-4412-b23a-31b2d8dd6612,2 Hearts,2 Hearts,,50000000,2 Hearts,100,https://www.imdb.com/title/tt5616176/,"Drama, Romance",Film,6.3,9K,1,3,34,10,1,1,1,2,1,1,1,5,5,8,10,19,5,30,8,7,4,,24
4067d49c-0274-41fc-8168-5cb9bc0c22d1,The Magician's Elephant,The Magician's Elephant,,48300000,The Magician's Elephant,95.65,https://www.imdb.com/title/tt2560092/,"Animation, Adventure, Comedy",Film,6.5,5.6K,1,2,17,2,1,1,1,1,2,,,,5,,26,20,,,,5,20,,48
3e5a8e5e-edd5-4cc3-a9ed-9a673444045e,Shooter: Season 1,Shooter,,107200000,Shooter,100,https://www.imdb.com/title/tt0822854/,"Action, Drama, Thriller",Film,7.1,352K,1,2,100,4,1,1,2,1,1,1,1,17,7,19,76,34,103,137,22,19,68,4,162
159ddb5d-feeb-436f-b6e5-07be3cf010ae,Shrek 2,Shrek 2,,47500000,Shrek 2,100,https://www.imdb.com/title/tt0298148/,"Animation, Adventure, Comedy",Film,7.3,499K,3,14,27,4,1,,2,1,1,,1,,9,,53,53,,1,1,29,85,1,179
428457d6-f490-43b1-b483-1e2e2d828d0c,The School for Good and Evil,The School for Good and Evil,,46900000,The School for Good and Evil,100,https://www.imdb.com/title/tt2935622/,"Action, Comedy, Drama",Film,5.9,35K,1,3,54,14,1,1,2,1,14,1,1,52,14,29,85,44,52,85,76,23,46,2,118
714abc3b-784d-4fc0-aa31-5014caf54ad5,Shrek,Shrek,,48100000,Shrek,100,https://www.imdb.com/title/tt0126029/,"Animation, Adventure, Comedy",Film,7.9,726K,2,8,39,11,2,,1,1,3,,1,,8,,43,40,,,,16,80,1,205
451646f1-c69e-4540-a557-4207e6f681eb,A Beautiful Life,A Beautiful Life,,46200000,A Beautiful Life,100,https://www.imdb.com/title/tt15282148/,"Drama, Music, Romance",Film,6.4,7.1K,1,1,27,8,2,1,1,,,,1,2,1,4,14,10,6,18,1,15,5,3,106
623db611-4fda-4140-a187-cfe6927ccc38,The Woman King,The Woman King,,44900000,The Woman King,100,https://www.imdb.com/title/tt8093700/,"Action, Drama, History",Film,6.9,71K,1,3,44,7,1,1,1,1,7,2,1,28,3,21,76,30,99,82,37,22,41,2,108
77f299dc-ca3f-498c-89ea-4338926388c5,F9: The Fast Saga,F9: The Fast Saga,,43700000,F9: The Fast Saga,94.12,https://www.imdb.com/title/tt5433138/,"Action, Crime, Thriller",Film,5.2,160K,1,6,84,16,1,1,3,1,15,2,1,48,13,41,190,41,231,262,59,41,33,13,211
9fe01476-dc50-4239-9eb7-11eb9a1c7fed,Through My Window 2: Across the Sea // A través de mi ventana 2: A través del mar,Through My Window 2: Across the Sea,,42900000,Through My Window Across the Sea,94.12,https://www.imdb.com/title/tt21245882/,"Comedy, Drama, Romance",Film,5.0,4.5K,1,2,16,5,,1,1,1,,1,,5,5,12,1,14,2,40,2,7,4,1,16
4d0c7d4e-ae42-469d-a8fb-207deab24264,Guillermo del Toro’s Pinocchio,Guillermo del Toro’s Pinocchio,,42500000,Guillermo Del Toro's Pinocchio,96.67,https://www.imdb.com/title/tt1488589/,"Animation, Drama, Family",Film,7.6,110K,2,5,28,9,1,1,2,1,1,6,1,3,11,12,113,22,,39,10,14,171,12,81
8f71268b-5add-4e9c-9f39-503c29d2039a,Purple Hearts,Purple Hearts,,42700000,Purple Hearts,100,https://www.imdb.com/title/tt4614584/,"Drama, Music, Romance",Film,6.7,50K,1,2,52,14,2,1,1,1,2,1,1,12,3,3,8,19,6,27,2,4,11,1,32
7bfb41cc-a5a4-4d1a-8109-ea36fb8f7e87,Inside Man: Season 1,Inside Man,,43100000,Inside Man,100,https://www.imdb.com/title/tt0454848/,"Crime, Drama, Mystery",Film,7.6,394K,1,1,107,7,1,1,1,1,1,1,1,13,5,5,54,34,31,59,10,20,122,1,99
1079376b-9dc1-491a-8d44-57ed3c2ca9d2,Unlocked // 스마트폰을 떨어뜨렸을 뿐인데,Unlocked,,46200000,Unlocked,100,https://www.imdb.com/title/tt1734493/,"Action, Thriller",Film,6.3,38K,1,1,47,15,1,1,1,2,1,1,1,5,6,12,18,32,52,31,12,15,11,2,36
0ae36ea5-0706-4e5f-ae5e-5dcb098ef4b7,Chor Nikal Ke Bhaga // चोर निकल के भागा,Chor Nikal Ke Bhaga,,41700000,Chor Nikal Ke Bhaga,100,https://www.imdb.com/title/tt22297828/,"Crime, Drama, Thriller",Film,7.3,53K,1,4,33,10,1,1,1,3,1,,1,2,5,11,11,12,,13,1,6,1,1,8
8786a918-d5cf-45d7-a7fe-2c88f24ce14a,White Chicks,White Chicks,,41400000,White Chicks,100,https://www.imdb.com/title/tt0381707/,"Comedy, Crime",Film,5.8,161K,1,9,77,5,1,1,2,2,1,1,1,77,3,8,40,31,52,42,22,16,34,1,71
fb8e16a0-32ee-447f-8abf-bcdbb3e27a71,"Pamela, a love story","Pamela, a love story",,41800000,Pamela: A Love Story,95,https://www.imdb.com/title/tt18376122/,"Documentary, Biography",Film,7.2,13K,1,,15,8,1,2,2,,,,,,1,,,10,,5,,2,6,,2
36582526-67ff-4906-b96b-4c74307365cf,Turbo (2013),Turbo,,41100000,Turbo,100,https://www.imdb.com/title/tt1860353/,"Animation, Adventure, Comedy",Film,6.4,109K,1,4,40,3,1,1,1,2,1,,,,10,,39,39,,1,,17,47,,162
28095fdb-e876-4269-9f04-43c651530b46,Bloodshot (2020),Bloodshot,,40900000,Bloodshot,100,https://www.imdb.com/title/tt1634106/,"Action, Adventure, Sci-Fi",Film,5.7,84K,1,6,35,22,1,1,1,1,6,2,1,25,12,19,74,41,100,109,24,28,37,5,85
176b7397-be8e-4902-94ea-0c13cd6fc601,Shrek Forever After,Shrek Forever After,,40300000,Shrek Forever After,100,https://www.imdb.com/title/tt0892791/,"Animation, Adventure, Comedy",Film,6.3,222K,1,10,35,6,1,1,1,1,2,,,,18,,57,23,,,,23,76,1,189
eb4e134e-a51f-41ec-8ade-efe16b5e7a9b,Infiesto,Infiesto,,39500000,Infiesto,100,https://www.imdb.com/title/tt15789492/,"Crime, Drama, Thriller",Film,5.6,4.3K,1,1,32,2,1,1,1,1,1,,,1,5,5,4,9,,16,1,8,1,1,5
1251cdaf-fada-4a80-978a-96f4fc6db69b,Mother's Day // Dzień Matki,Mother's Day,,38300000,Mothers Day,100,https://www.imdb.com/title/tt2350680/,"Documentary, Biography, Family",Film,4.4,24,1,1,,1,,2,2,,,,,,1,,,,,,,,,1,
83bb88e8-9eef-4a52-80ab-32cc36365895,Shark Tale,Shark Tale,,38700000,Shark Tale,100,https://www.imdb.com/title/tt0307453/,"Animation, Adventure, Comedy",Film,6.0,197K,3,10,31,5,2,,3,1,3,,,,16,,44,33,,2,,26,80,1,121
fd3a9d66-54fa-4fa2-8769-69671da076c1,The Hatchet Wielding Hitchhiker,The Hatchet Wielding Hitchhiker,,38700000,The Hatchet Wielding Hitchhiker,100,https://www.imdb.com/title/tt24509990/,"Documentary, Crime",Film,6.2,12K,1,1,28,8,1,1,1,,,,,,2,,,4,,1,,4,,,5
4c3c342d-0baf-49ab-bcc0-e0b7f6e94dea,The Hunger Games,The Hunger Games,,39300000,The Hunger Games,100,https://www.imdb.com/title/tt1392170/,"Action, Adventure, Sci-Fi",Film,7.2,994K,1,4,160,12,1,1,3,1,3,1,1,112,4,14,227,55,52,132,49,33,142,3,211
5d6382f3-9f22-4910-bc1a-aa072780745a,6 Underground,6 Underground,,38600000,6 Underground,100,https://www.imdb.com/title/tt8106534/,"Action, Thriller",Film,6.1,194K,1,2,68,15,1,1,3,3,7,2,1,24,22,33,118,35,124,122,31,24,54,1,149
f7d50008-d465-44e5-a9cc-2946d6fc39ac,Sleeping Dog: Limited Series // Schlafende Hunde: Miniserie,Sleeping Dog: Limited Series,,38000000,Sleeping Dogs,92.31,https://www.imdb.com/title/tt8542964/,"Crime, Mystery, Thriller",Film,N/A,N/A,1,3,21,27,1,1,1,1,1,,1,7,3,4,7,11,2,11,6,2,2,1,14
fb54e6ce-179e-43f0-9d4f-2f25bda671a5,2 Guns,2 Guns,,37100000,2 Guns,100,https://www.imdb.com/title/tt1272878/,"Action, Comedy, Thriller",Film,6.7,224K,1,2,82,17,1,1,1,1,1,1,1,27,7,12,123,36,56,215,27,18,19,1,251
1d9e1506-c668-4ddc-90ed-b43ce1ad8c27,Back to the Outback,Back to the Outback,,37600000,Back to the Outback,100,https://www.imdb.com/title/tt13575806/,"Animation, Adventure, Comedy",Film,6.5,10K,2,4,27,8,1,,1,2,,,,,13,,19,20,,,,10,26,1,14
237d1bf5-f27b-4112-8ba1-b74427868fca,Troll,Troll,,36600000,Troll,100,https://www.imdb.com/title/tt11116912/,"Action, Adventure, Drama",Film,5.8,48K,1,2,43,11,1,1,2,1,1,,1,7,3,7,14,14,23,36,4,13,3,3,11
f32f22d9-2834-4c2a-9464-61cd32670e8e,The Mitchells vs. The Machines,The Mitchells vs. The Machines,,36900000,The Mitchells vs the Machines,100,https://www.imdb.com/title/tt7979580/,"Animation, Action, Adventure",Film,7.6,124K,2,4,51,8,1,,1,3,1,,,,12,,69,24,,,,20,40,1,39
2a4626f9-8e3b-4a6b-8399-15299452c077,"Lyle, Lyle, Crocodile","Lyle, Lyle, Crocodile",,37100000,"Lyle, Lyle, Crocodile",90.48,https://www.imdb.com/title/tt14668630/,"Adventure, Comedy, Family",Film,6.1,15K,2,2,80,12,3,1,1,2,2,1,1,13,4,16,50,34,41,71,26,19,203,4,87
74264838-f651-42d5-b393-8c89831ef046,Grown Ups (2010),Grown Ups,,36200000,Grown Ups,100,https://www.imdb.com/title/tt1375670/,Comedy,Film,6.0,272K,1,2,150,8,1,1,1,2,1,2,1,30,2,6,78,22,34,87,27,10,23,1,112
b97ed616-53bd-4d20-b28e-a39848c3a38e,Against the Ropes: Season 1 // Contra las cuerdas: Temporada 1,Against the Ropes,,36100000,Against the Ropes,100,https://www.imdb.com/title/tt0312329/,"Biography, Drama, Romance",Film,5.3,7.4K,1,2,93,8,1,1,1,2,1,1,1,8,2,6,17,27,4,42,6,7,14,1,57
fc488a26-7547-4f46-af0d-ce8df983de9a,Let Him Go,Let Him Go,,36200000,Let Him Go,100,https://www.imdb.com/title/tt9340860/,"Crime, Drama, Thriller",Film,6.7,35K,1,2,36,7,1,1,2,2,1,1,1,10,2,4,22,17,4,22,11,8,8,1,25
b7316c3d-f84d-4937-8e15-3256490b3c2d,A Quiet Place Part II,A Quiet Place Part II,,36000000,A Quiet Place Part II,100,https://www.imdb.com/title/tt8332922/,"Drama, Horror, Sci-Fi",Film,7.2,267K,1,3,55,8,1,1,1,3,1,3,1,16,3,8,50,24,51,95,18,21,35,2,91
97f5172b-84f7-4dba-ad4a-959459745539,Hotel Transylvania (2012),Hotel Transylvania,,35900000,Hotel Transylvania,100,https://www.imdb.com/title/tt0837562/,"Animation, Adventure, Comedy",Film,7.0,278K,1,5,60,5,1,,1,1,2,,,,13,,35,20,,,,13,43,1,73
63b11a24-5d62-4ffe-92eb-e93afe2fb591,Missing (2023),Missing,,35800000,Missing,100,https://www.imdb.com/title/tt10855768/,"Drama, Mystery, Thriller",Film,7.1,56K,2,4,46,8,1,1,2,1,1,1,2,13,5,9,14,19,8,21,5,10,11,1,36
40dded89-055f-4115-b6d2-4f4c66ef6c15,Wish Dragon,Wish Dragon,,35400000,Wish Dragon,100,https://www.imdb.com/title/tt5562070/,"Animation, Adventure, Comedy",Film,7.2,33K,1,2,35,23,1,,1,2,1,,,,15,,26,19,,,,6,20,,14
